Energy(MeV)	LaCl\d3\n:Ce(SEB 347)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q489)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q491)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (2987)	Uncertainty
			1.8710	0.83237	0.12461	1.8710	0.81693	0.13228	1.5700	1.0482	0.12594
			1.8870	0.84106	0.12693	1.8870	0.85081	0.13871	1.5920	1.0214	0.12333
			1.9030	0.79301	0.12068	1.9030	0.83041	0.13636	1.6140	0.99814	0.12119
			1.9190	0.80037	0.12287	1.9190	0.82644	0.13673	1.6360	1.0069	0.12299
			1.9350	0.78226	0.12119	1.9350	0.71781	0.11970	1.6580	0.96788	0.11898
			1.9520	0.72672	0.11374	1.9520	0.70546	0.11868	1.6810	0.95009	0.11765
			1.9680	0.73369	0.11599	1.9680	0.68615	0.11644	1.7030	0.91570	0.11425
			1.9850	0.73825	0.11801	1.9850	0.71244	0.12207	1.7260	0.90215	0.11352
			2.0010	0.76505	0.15035	2.0010	0.69608	0.14337	1.7480	0.87661	0.11128
			2.0340	0.73979	0.14777	2.0340	0.67405	0.14092	1.7710	0.86956	0.11148
			2.0680	0.71805	0.14609	2.0680	0.65521	0.13930	1.7940	0.90262	0.11696
			2.1010	0.68380	0.14185	2.1010	0.62484	0.13523	1.8170	0.85870	0.11254
			2.1360	0.65706	0.13941	2.1360	0.61133	0.13508	1.8410	0.83245	0.11050
			2.1700	0.63365	0.13767	2.1700	0.59042	0.13335	1.8640	0.82332	0.11072
			2.2050	0.61356	0.13687	2.2050	0.58164	0.13462	1.8880	0.80185	0.10942
			2.2400	0.62212	0.14279	2.2400	0.57189	0.13592	1.9110	0.77124	0.10682
			2.2750	0.59481	0.14075	2.2750	0.55630	0.13604	1.9350	0.76132	0.10720
			2.3110	0.58588	0.14335	2.3110	0.53191	0.13422	1.9590	0.73311	0.10504
			2.3470	0.56365	0.14291	2.3470	0.52053	0.13583	1.9830	0.70149	0.10239
			2.3830	0.57139	0.15042	2.3830	0.50519	0.13660	2.0080	0.70324	0.10476
			2.4190	0.54461	0.14917	2.4190	0.48226	0.13540	2.0320	0.73329	0.11151
			2.4560	0.52936	0.15131	2.4560	0.45608	0.13337	2.0560	0.70621	0.10975
			2.4930	0.50130	0.14981	2.4930	0.43925	0.13404	2.0810	0.68197	0.10852
			2.5310	0.48124	0.15873	2.5310	0.42237	0.14074	2.1060	0.66035	0.10772
			2.5690	0.46809	0.15439	2.5690	0.41773	0.13919	2.1310	0.64676	0.10827
			2.6070	0.45363	0.14962	2.6070	0.41154	0.13713	2.1560	0.62231	0.10702
			2.6450	0.42661	0.14072	2.6450	0.38767	0.12918	2.1810	0.61205	0.10825
			2.6840	0.40460	0.13346	2.6840	0.37912	0.12633	2.2060	0.57728	0.10510
